Name;Data Type;Match
Frequency_Inverter_Pump;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Frequenz_Inv1;Devices.csv: integer | NewFlow.csv: float;Devices.csv, NewFlow.csv
Frequenz_Inv2;Devices.csv: integer | NewFlow.csv: float;Devices.csv, NewFlow.csv
Frequenz_Inv3;Devices.csv: integer | NewFlow.csv: float;Devices.csv, NewFlow.csv
Grid_is_ON;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Grid_is_On;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Grid_Power;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Grid_Power_KWh_This_Hour;Borehole.csv: integer | CodesysRO.csv: float | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Grid_Power_KWh_This_Month;Borehole.csv: float | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: float | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Grid_Power_KWh_Today;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: float | NewFlow2.csv: float;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Grid_Power_KWh_Total;Borehole.csv: float | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: float | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
GridisON;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
IceMachine_Run;Ice_Measures.csv: boolean | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Inverter_Temperature;Borehole.csv: float | Ice_Measures.csv: integer | NewFlow2.csv: float;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Leitfaehigkeit;Devices.csv: float | NewFlow.csv: float;Devices.csv, NewFlow.csv
Machine_Capacity;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Machine_Grid_Percentage;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Machine_Mode_Bohrhole;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
Machine_Solar_Percentage;Borehole.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
MachineCapacity;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
MachineGridPercentage;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
MachineSolarPercentage;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
Mains_ON;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Output_Power_KWh_This_Hour;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Output_Power_KWh_This_Month;Borehole.csv: float | CodesysRO.csv: string | Ice_Measures.csv: integer | Ice_Measures2.csv: float | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Output_Power_KWh_Today;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: float | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
