Name;Data Type;Match
Temperature_Inverter_Pump;Ice_Measures.csv: integer | Ice_Measures2.csv: float | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Total_Current;CodesysRO.csv: string | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Total_Power;Borehole.csv: integer | CodesysRO.csv: integer | Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, CodesysRO.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Total_Run_Time;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Totalwater_Clean;CodesysRO.csv: string | NewFlow.csv: string | NewFlow2.csv: float;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
TotalWater_Raw;CodesysRO.csv: string | NewFlow.csv: string | NewFlow2.csv: float;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
TotalWater_Recovery;NewFlow.csv: float | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
TotalWater_Sold;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
UV_Lamp_Run_Time;Borehole.csv: integer | Ice_Measures.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
UVin_ctrl;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
UVin_ctrll;NewFlow.csv: integer | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
UVin_switching;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
UVin_workhours;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
UVo_switching;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
UVo_Watersensor;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
UVo_workhours;NewFlow.csv: string | NewFlow2.csv: float;NewFlow.csv, NewFlow2.csv
UVout_ctrl;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
UVout_ctrll;NewFlow.csv: integer | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
Valves_bw;CodesysRO.csv: integer | NewFlow2.csv: integer;CodesysRO.csv, NewFlow2.csv
Valves_CIP;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Valves_Filling;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Valves_Flush;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Valves_Pro;CodesysRO.csv: integer | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Voltage_Drv1;CodesysRO.csv: integer | NewFlow.csv: float | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Voltage_Drv2;CodesysRO.csv: integer | NewFlow.csv: float | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Voltage_Drv3;CodesysRO.csv: integer | NewFlow.csv: float | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
Water_M3_Per_This_Month;Borehole.csv: integer | Ice_Measures.csv: float | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, NewFlow2.csv
Water_M3_This_Hour;Borehole.csv: integer | Ice_Measures.csv: float | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Water_M3_This_Month;Ice_Measures.csv: integer | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Water_M3_Today;Borehole.csv: integer | Ice_Measures.csv: float | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Water_M3_Total;Borehole.csv: integer | Ice_Measures.csv: float | Ice_Measures2.csv: integer | NewFlow2.csv: integer;Borehole.csv, Ice_Measures.csv, Ice_Measures2.csv, NewFlow2.csv
Waterflowing;NewFlow.csv: string | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
WaterToday_Clean;CodesysRO.csv: string | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
WaterToday_in;Devices.csv: float | NewFlow.csv: integer;Devices.csv, NewFlow.csv
WaterToday_Raw;CodesysRO.csv: string | NewFlow.csv: string | NewFlow2.csv: integer;CodesysRO.csv, NewFlow.csv, NewFlow2.csv
WaterToday_Recovery;NewFlow.csv: integer | NewFlow2.csv: integer;NewFlow.csv, NewFlow2.csv
WaterToday_sold;Devices.csv: float | NewFlow.csv: integer | NewFlow2.csv: integer;Devices.csv, NewFlow.csv, NewFlow2.csv
