NamibiaName;Status;Name;Displayname;Comments
_45_Alarm_Valve_4_Alarm;Similar;AlarmValve4;Alarm_Valve4;
_46_Alarm_Valve_5_Alarm;Similar;AlarmValve5;Alarm_Valve5;
_53_Feed_Power;Similar;FeedPower;Total_Power_Feed;
_54_Booster_Power;Similar;BoosterPower;Total_Power_Booster;
_61_DC_Voltage_Feed;Similar;DCVoltageFeed;DC_Voltage_Feed;
_62_DC_Voltage_Booster;Similar;DCVoltageBooster;DC_Voltage_Booster;
_64_Temperature_Inverter_Feed;Similar;TemperatureInverterFeed;Temp_Inverter_Feed;
_65_Temperature_Inverter_Booster;Similar;TemperatureInverterBooster;Temp_Inverter_Booster;
_67_Frequency_Inverter_Feed;Similar;FrequencyInverterFeed;Frequency_Drv2;
_68_Frequency_Inverter_Booster;Similar;FrequencyInverterBooster;Frequency_Drv3;
_70_Current_Inverter_Feed;Similar;CurrentInverterFeed;Current_Feed_Pump;
_71_Current_Inverter_Booster;Similar;CurrentInverterBooster;Current_Booster_Pump;
_85_Raw_Water_M3_Total;Similar;RawWaterM3Total;Water_Total_Raw;
_86_Raw_Water_M3_This_Hour;Similar;RawWaterM3ThisHour;Water_This_Hour_Raw;
_87_Raw_Water_M3_Today;Similar;RawWaterM3Today;Water_Today_Raw;
_88_Raw_Water_M3_This_Month;Similar;RawWaterM3ThisMonth;Water_This_Month_Raw;
_89_Premeate_Water_M3_Total;Similar;PremeateWaterM3Total;Water_Total_Clean;
_90_Premeate_Water_M3_This_Hour;Similar;PremeateWaterM3ThisHour;Water_This_Hour_Clean;
_91_Premeate_Water_M3_Today;Similar;PremeateWaterM3Today;Water_Today_Clean;
_92_Premeate_Water_M3_This_Month;Similar;PremeateWaterM3ThisMonth;Water_This_Month_Clean;
_97_Machine_Mode_Pro;Similar;Machine_Mode_Pro;Machine_Mode_Pro;
_98_Machine_Mode_CIP;Similar;Machine_Mode_CIP;Machine_Mode_CIP;
_99_Machine_Mode_Filling;Similar;Machine_Mode_Filling;Machine_Mode_Filling;
_100_Machine_Mode_Flush;Similar;Machine_Mode_Flush;Machine_Mode_Flush;
_101_Machine_Mode_Backwash;Similar;Machine_Mode_Backwash;Machine_Mode_Backwash;
_102_Machine_Mode_Bohrhole;Similar;Machine_Mode_Bohrhole;Machine_Mode_Borehole;
_103_Datum_Backwash_Done;Similar;Datum_Backwash_Done;Date_Backwash_Done;
_104_Datum_CIP_Done;Similar;Datum_CIP_Done;Date_CIP_Done;
_105_Dosing_Pump_Alarm;Similar;Dosing_Pump_Alarm;Alarm_Dosing_Pump;
_106_EC_Value;Similar;EC_Value;EC_Value;
_107_Pressure_Value;Similar;Pressure;Pressure;
_108_UV_In_Work_Hours;Similar;UVin_workhours;UV_In_Workhours;
_109_UV_Out_Work_Hours;Similar;uvo_workhours;UV_Out_Workhours;
_110_UV_In_Switching;Similar;UVin_switching;UV_In_Switch;
_111_Antitank_Empty;Similar;AntiTank_empty;Alarm_AntiScalant_Tank;
_112_UV_In_Ctrl;Similar;UVin_ctrl;UV_In_Ctrl;
_113_UV_Out_Ctrl;Similar;UVout_ctrl;UV_Out_Ctrl;
_114_Rawtank_Low_Lvl;Similar;Rawtank_lowlvl;Tank_Raw_Low_Level;
_115_Rawtank_Top_Lvl;Similar;Rawtank_toplvl;Tank_Raw_High_Level;
_116_Premtank_Top_Lvl;Similar;Permtank_toplvl;Tank_Water_Clean_High_Level;
_117_Mains_On;Similar;Mains_ON;Main_ON;
_118_Anti_Pump;Similar;Anti_pump;Alarm_Anti_Pump;
_120_Boost_Total_Run;Similar;Feed_TotalRUN;Booster_Pump_Total_Run;
_121_Feed_Total_Run;Similar;Feed_TotalRUN;Feed_Pump_Total_Run;
_122_CIP_Full;Similar;CIPtankHigh;CIP_Tank_Full;
_123_CIP_Empty;Similar;CIPtank_empty;CIP_Tank_Empty;
_124_SCBW_V1_Ctrl;Similar;SC_ctrl1;SCBW_1st_Ctrl;
_125_Water_Flowing;Similar;Waterflowing;Water_flowing;
_126_Pressure_2;Similar;Pressure2;Pressure2;
_127_pH_Input;Similar;Ph_Tank1;Ph_Tank1;
_128_pH_Output;Similar;Ph_Tank2;Ph_Tank2;
_138_Alarm_Valve_6_Alarm;Similar;AlarmValve5;Alarm_Valve5;
_139_Diff_Pressure;No_match;;;
_140_SCBW_V2_Ctrl;Similar;SC_ctrl2;SCBW_2nd_Ctrl;
